2025-03-05 02:39:38,691 INFO: Machine machine2 initialized with tick rate 5 ticks per second
2025-03-05 02:39:38,697 INFO: gRPC server started on port 50052
2025-03-05 02:40:05,956 INFO: Sent event to localhost:50051: updated logical clock to 135, system_time=1741160405
2025-03-05 02:40:06,159 INFO: Sent message to localhost:50053: sent_clock=136, system_time=1741160406
2025-03-05 02:40:06,159 INFO: Sent event to localhost:50053: updated logical clock to 136, system_time=1741160406
2025-03-05 02:40:06,360 INFO: Sent message to localhost:50053: sent_clock=137, system_time=1741160406
2025-03-05 02:40:06,360 INFO: Sent event to localhost:50053: updated logical clock to 137, system_time=1741160406
2025-03-05 02:40:06,557 INFO: Internal event: updated logical clock to 138, system_time=1741160406
2025-03-05 02:40:06,761 INFO: Internal event: updated logical clock to 139, system_time=1741160406
2025-03-05 02:40:06,965 INFO: Internal event: updated logical clock to 140, system_time=1741160406
2025-03-05 02:40:07,173 INFO: Sent message to localhost:50051: sent_clock=141, system_time=1741160407
2025-03-05 02:40:07,173 INFO: Sent event to localhost:50051: updated logical clock to 141, system_time=1741160407
2025-03-05 02:40:07,379 INFO: Sent message to localhost:50053: sent_clock=142, system_time=1741160407
2025-03-05 02:40:07,380 INFO: Sent event to localhost:50053: updated logical clock to 142, system_time=1741160407
2025-03-05 02:40:07,577 INFO: Internal event: updated logical clock to 143, system_time=1741160407
2025-03-05 02:40:07,780 INFO: Internal event: updated logical clock to 144, system_time=1741160407
2025-03-05 02:40:07,982 INFO: Internal event: updated logical clock to 145, system_time=1741160407
2025-03-05 02:40:08,183 INFO: Internal event: updated logical clock to 146, system_time=1741160408
2025-03-05 02:40:08,387 INFO: Sent message to localhost:50051: sent_clock=147, system_time=1741160408
2025-03-05 02:40:08,389 INFO: Sent message to localhost:50053: sent_clock=147, system_time=1741160408
2025-03-05 02:40:08,389 INFO: Broadcast sent: updated logical clock to 147, system_time=1741160408
2025-03-05 02:40:08,590 INFO: Internal event: updated logical clock to 148, system_time=1741160408
2025-03-05 02:40:08,795 INFO: Internal event: updated logical clock to 149, system_time=1741160408
2025-03-05 02:40:09,000 INFO: Sent message to localhost:50051: sent_clock=150, system_time=1741160408
2025-03-05 02:40:09,001 INFO: Sent event to localhost:50051: updated logical clock to 150, system_time=1741160408
2025-03-05 02:40:09,203 INFO: Internal event: updated logical clock to 151, system_time=1741160409
2025-03-05 02:40:09,406 INFO: Internal event: updated logical clock to 152, system_time=1741160409
2025-03-05 02:40:09,609 INFO: Sent message to localhost:50053: sent_clock=153, system_time=1741160409
2025-03-05 02:40:09,609 INFO: Sent event to localhost:50053: updated logical clock to 153, system_time=1741160409
2025-03-05 02:40:09,821 INFO: Sent message to localhost:50053: sent_clock=154, system_time=1741160409
2025-03-05 02:40:09,821 INFO: Sent event to localhost:50053: updated logical clock to 154, system_time=1741160409
2025-03-05 02:40:10,017 INFO: Sent message to localhost:50051: sent_clock=155, system_time=1741160410
2025-03-05 02:40:10,019 INFO: Sent message to localhost:50053: sent_clock=155, system_time=1741160410
