2025-03-05 03:34:41,976 INFO: Machine machine2 initialized with tick rate 2 ticks per second
2025-03-05 03:35:30,824 INFO: Sent event to localhost:50053: updated logical clock to 98, system_time=1741163730
2025-03-05 03:35:31,325 INFO: Sent message to localhost:50051: sent_clock=99, system_time=1741163731
2025-03-05 03:35:31,329 INFO: Sent message to localhost:50053: sent_clock=99, system_time=1741163731
2025-03-05 03:35:31,329 INFO: Broadcast sent: updated logical clock to 99, system_time=1741163731
2025-03-05 03:35:31,826 INFO: Internal event: updated logical clock to 100, system_time=1741163731
2025-03-05 03:35:32,330 INFO: Internal event: updated logical clock to 101, system_time=1741163732
2025-03-05 03:35:32,837 INFO: Sent message to localhost:50051: sent_clock=102, system_time=1741163732
2025-03-05 03:35:32,840 INFO: Sent message to localhost:50053: sent_clock=102, system_time=1741163732
2025-03-05 03:35:32,840 INFO: Broadcast sent: updated logical clock to 102, system_time=1741163732
2025-03-05 03:35:33,341 INFO: Sent message to localhost:50051: sent_clock=103, system_time=1741163733
2025-03-05 03:35:33,345 INFO: Sent message to localhost:50053: sent_clock=103, system_time=1741163733
2025-03-05 03:35:33,345 INFO: Broadcast sent: updated logical clock to 103, system_time=1741163733
2025-03-05 03:35:33,842 INFO: Internal event: updated logical clock to 104, system_time=1741163733
2025-03-05 03:35:34,349 INFO: Sent message to localhost:50051: sent_clock=105, system_time=1741163734
2025-03-05 03:35:34,351 INFO: Sent message to localhost:50053: sent_clock=105, system_time=1741163734
2025-03-05 03:35:34,352 INFO: Broadcast sent: updated logical clock to 105, system_time=1741163734
2025-03-05 03:35:34,852 INFO: Sent message to localhost:50051: sent_clock=106, system_time=1741163734
2025-03-05 03:35:34,852 INFO: Sent event to localhost:50051: updated logical clock to 106, system_time=1741163734
2025-03-05 03:35:35,353 INFO: Sent message to localhost:50051: sent_clock=107, system_time=1741163735
2025-03-05 03:35:35,356 INFO: Sent message to localhost:50053: sent_clock=107, system_time=1741163735
2025-03-05 03:35:35,356 INFO: Broadcast sent: updated logical clock to 107, system_time=1741163735
2025-03-05 03:35:35,849 INFO: Internal event: updated logical clock to 108, system_time=1741163735
2025-03-05 03:35:36,356 INFO: Sent message to localhost:50051: sent_clock=109, system_time=1741163736
2025-03-05 03:35:36,357 INFO: Sent event to localhost:50051: updated logical clock to 109, system_time=1741163736
2025-03-05 03:35:36,859 INFO: Sent message to localhost:50053: sent_clock=110, system_time=1741163736
2025-03-05 03:35:36,859 INFO: Sent event to localhost:50053: updated logical clock to 110, system_time=1741163736
2025-03-05 03:35:37,363 INFO: Sent message to localhost:50053: sent_clock=111, system_time=1741163737
2025-03-05 03:35:37,364 INFO: Sent event to localhost:50053: updated logical clock to 111, system_time=1741163737
2025-03-05 03:35:37,860 INFO: Internal event: updated logical clock to 112, system_time=1741163737
2025-03-05 03:35:38,365 INFO: Sent message to localhost:50051: sent_clock=113, system_time=1741163738
2025-03-05 03:35:38,365 INFO: Sent event to localhost:50051: updated logical clock to 113, system_time=1741163738
2025-03-05 03:35:38,867 INFO: Sent message to localhost:50051: sent_clock=114, system_time=1741163738
2025-03-05 03:35:38,869 INFO: Sent message to localhost:50053: sent_clock=114, system_time=1741163738
2025-03-05 03:35:38,869 INFO: Broadcast sent: updated logical clock to 114, system_time=1741163738
2025-03-05 03:35:39,370 INFO: Sent message to localhost:50053: sent_clock=115, system_time=1741163739
2025-03-05 03:35:39,371 INFO: Sent event to localhost:50053: updated logical clock to 115, system_time=1741163739
2025-03-05 03:35:39,874 INFO: Sent message to localhost:50051: sent_clock=116, system_time=1741163739
2025-03-05 03:35:39,877 INFO: Sent message to localhost:50053: sent_clock=116, system_time=1741163739
2025-03-05 03:35:39,878 INFO: Broadcast sent: updated logical clock to 116, system_time=1741163739
2025-03-05 03:35:40,374 INFO: Sent message to localhost:50053: sent_clock=117, system_time=1741163740
2025-03-05 03:35:40,374 INFO: Sent event to localhost:50053: updated logical clock to 117, system_time=1741163740
2025-03-05 03:35:40,882 INFO: Sent message to localhost:50053: sent_clock=118, system_time=1741163740
2025-03-05 03:35:40,882 INFO: Sent event to localhost:50053: updated logical clock to 118, system_time=1741163740
2025-03-05 03:35:41,381 INFO: Internal event: updated logical clock to 119, system_time=1741163741
